YEAR,MO,DY,HR,WS10M,WD10M,RH2M,T2M
2023,1,6,7,3.77,251.1,91.37,23.09
2023,1,6,8,4.07,248.8,87.51,24
2023,1,6,9,4.19,246.4,84.35,24.87
2023,1,6,10,4.22,244.8,82.23,25.47
2023,1,6,11,4.22,242.2,81.57,25.71
2023,1,6,12,4.3,239.2,81.45,25.78
2023,1,6,13,4.39,236.7,81.33,25.68
2023,1,6,14,4.44,235,82.11,25.34
2023,1,6,15,4.35,232.8,83.82,24.81
2023,1,6,16,4.12,230.3,86.93,24.07
2023,1,6,17,3.42,227.1,92.41,23.14
2023,1,6,18,2.62,223,96.22,22.39
2023,1,6,19,2.62,217.7,96.57,22.17
2023,1,6,20,2.47,213.6,97.01,22.02
2023,1,6,21,2.35,212.5,97.56,21.88
2023,1,6,22,2.36,210.6,97.63,21.73
2023,1,6,23,2.3,209.5,97.73,21.56
2023,1,7,0,2.27,210.7,97.79,21.39
2023,1,7,1,2.2,212.4,97.98,21.22
2023,1,7,2,2.11,213.8,98.18,21.08
2023,1,7,3,2.02,215.7,98.37,20.96
2023,1,7,4,1.97,219.4,98.33,20.88
2023,1,7,5,1.94,224.6,98.41,20.82
2023,1,7,6,2.39,227,95.69,22.06
2023,1,7,7,3.07,232.9,91.69,23.03
2023,1,7,8,3.29,240.5,87.04,24.05
2023,1,7,9,3.49,248,82.84,25.17
2023,1,7,10,3.68,252,80.6,25.88
2023,1,7,11,3.92,252.5,79.55,26.25
2023,1,7,12,4.18,252.3,78.87,26.43
2023,1,7,13,4.41,250.8,78.87,26.39
2023,1,7,14,4.52,248.4,79.91,26.13
2023,1,7,15,4.46,246.2,81.34,25.64
2023,1,7,16,4.24,243.1,84.13,24.9
2023,1,7,17,3.47,237.2,90.02,23.8
2023,1,7,18,2.59,232.4,95.56,22.63
2023,1,7,19,2.49,230,96.35,22.29
2023,1,7,20,2.34,228.5,96.77,22.03
2023,1,7,21,2.15,228.8,97.14,21.8
2023,1,7,22,1.99,230.3,97.48,21.58
2023,1,7,23,1.88,233,97.6,21.38
2023,1,8,0,1.88,235.6,97.62,21.2
2023,1,8,1,1.96,237.3,97.74,21.02
2023,1,8,2,2.02,236.1,97.74,20.94
2023,1,8,3,2.06,234.3,97.92,20.85
2023,1,8,4,1.98,234.2,97.94,20.76
2023,1,8,5,1.87,235.5,97.79,20.65
2023,1,8,6,2.29,237.3,94.23,22.07
2023,1,8,7,3.11,241.2,89.13,23.23
2023,1,8,8,3.44,243.2,83.98,24.33
2023,1,8,9,3.65,246.1,80.06,25.25
2023,1,8,10,3.86,249.7,77.94,25.9
2023,1,8,11,4.01,251.8,77.1,26.26
2023,1,8,12,4.21,253.2,76.68,26.37
2023,1,8,13,4.35,252.2,77.12,26.28
2023,1,8,14,4.36,250.7,78.19,25.95
2023,1,8,15,4.24,249.1,80.44,25.38
2023,1,8,16,3.75,244.9,84.33,24.68
2023,1,8,17,2.72,239.9,90.62,23.73
2023,1,8,18,1.95,234.6,95.19,22.78
2023,1,8,19,1.93,231.5,95.9,22.55
2023,1,8,20,2,234.2,96.6,22.33
2023,1,8,21,2.13,235.3,96.94,22.2
2023,1,8,22,2.14,236.5,97.36,22.02
2023,1,8,23,2.01,243.1,97.71,21.84
2023,1,9,0,1.86,250.2,97.92,21.7
2023,1,9,1,1.77,256.9,98.01,21.58
2023,1,9,2,1.75,262.8,97.99,21.5
2023,1,9,3,1.75,265.8,97.99,21.41
2023,1,9,4,1.69,267,97.84,21.34
2023,1,9,5,1.67,269.7,97.71,21.28
2023,1,9,6,1.8,273.2,95.49,22.39
2023,1,9,7,2.79,277.4,90.92,23.47
2023,1,9,8,3.41,280.8,85.78,24.5
2023,1,9,9,3.76,283.2,80.91,25.48
2023,1,9,10,3.99,282.7,76.98,26.35
2023,1,9,11,4.16,281,74.62,26.91
2023,1,9,12,4.23,278,73.92,27.04
2023,1,9,13,4.19,274,74.53,26.82
2023,1,9,14,4.07,268.5,76.33,26.5
2023,1,9,15,3.92,261.8,78.31,26.12
2023,1,9,16,3.62,255,81.91,25.51
2023,1,9,17,2.84,247.4,89.4,24.37
2023,1,9,18,2.21,241,95.27,23.03
2023,1,9,19,2.21,238,96.11,22.73
2023,1,9,20,2.06,236.5,96.78,22.44
2023,1,9,21,1.98,234.2,97.41,22.13
2023,1,9,22,1.99,234.6,97.81,21.85
2023,1,9,23,1.96,236.5,97.91,21.59
2023,1,10,0,1.9,237.2,98,21.32
2023,1,10,1,1.9,238.6,98.07,21.11
2023,1,10,2,1.9,239.7,98.03,21
2023,1,10,3,1.86,238.9,98.46,20.87
2023,1,10,4,1.79,236.8,98.74,20.73
2023,1,10,5,1.68,234.4,98.43,20.76
2023,1,10,6,1.81,231.3,95.32,22.16
2023,1,10,7,2.42,232,90.62,23.16
2023,1,10,8,2.84,235.9,86.21,24.01
2023,1,10,9,3.31,240.3,82.5,24.84
2023,1,10,10,3.76,243.8,80.47,25.37
2023,1,10,11,4.02,244.8,79.13,25.84
2023,1,10,12,4.02,242.3,77.98,26.22
2023,1,10,13,3.82,236,77.46,26.32
2023,1,10,14,3.71,227.4,78.03,26.08
2023,1,10,15,3.63,220.5,79.72,25.59
2023,1,10,16,3.46,216.3,83.34,24.85
2023,1,10,17,2.93,213.3,89.88,23.81
2023,1,10,18,2.43,212.4,94.85,22.78
2023,1,10,19,2.55,211.2,95.78,22.44
2023,1,10,20,2.66,209.6,95.66,22.26
2023,1,10,21,2.73,208.9,95.79,22.07
2023,1,10,22,2.65,207.6,95.96,21.82
2023,1,10,23,2.45,205.6,96.63,21.58
2023,1,11,0,2.3,205.5,97.59,21.31
2023,1,11,1,2.19,205.4,98.15,21.14
2023,1,11,2,2.15,204.8,98,21.09
2023,1,11,3,2.17,204.2,97.83,21.06
2023,1,11,4,2.15,204.2,97.92,20.99
2023,1,11,5,2.14,204.3,97.96,20.91
2023,1,11,6,2.65,201.9,94.63,22.22
2023,1,11,7,3.31,200.4,89.35,23.41
2023,1,11,8,3.32,200.6,84.38,24.46
2023,1,11,9,3.2,201.8,80.59,25.44
2023,1,11,10,3.05,202.1,78.24,25.97
2023,1,11,11,2.89,202.6,76.66,26.43
2023,1,11,12,2.79,205,75.52,26.64
2023,1,11,13,2.72,207.3,75.43,26.62
2023,1,11,14,2.72,210,75.48,26.51
2023,1,11,15,2.82,211.8,76.68,26.14
2023,1,11,16,2.84,210.3,80.87,25.42
2023,1,11,17,2.46,207.8,87.76,24.28
2023,1,11,18,1.99,202.7,93.72,23.04
2023,1,11,19,2.01,195.6,94.77,22.63
2023,1,11,20,1.98,191.4,95.62,22.29
2023,1,11,21,1.95,189.5,96.43,22
2023,1,11,22,1.94,188,96.98,21.8
2023,1,11,23,1.94,187.1,97.18,21.66
2023,1,12,0,1.97,185.8,97.37,21.51
2023,1,12,1,2,186.3,97.51,21.41
2023,1,12,2,2.03,185.4,97.67,21.3
2023,1,12,3,2.06,182.5,97.79,21.21
2023,1,12,4,2.04,178.3,97.95,21.11
2023,1,12,5,2.01,174,97.99,21.05
2023,1,12,6,2.46,171.1,94.65,22.51
2023,1,12,7,2.76,165.1,89.21,23.69
2023,1,12,8,2.47,159.4,82.98,24.96
2023,1,12,9,2.04,157.5,75.75,26.37
2023,1,12,10,1.74,164.7,70.53,27.42
2023,1,12,11,1.69,181.4,67.65,28.15
2023,1,12,12,1.94,195.8,66.49,28.51
2023,1,12,13,2.34,199.4,66.5,28.49
2023,1,12,14,2.75,198.9,67.78,28.11
2023,1,12,15,3.05,195.8,71.42,27.32
2023,1,12,16,3.28,190.2,76.93,26.42
2023,1,12,17,3.07,182.6,84.86,25.06
2023,1,12,18,2.42,173.8,93.19,23.75
2023,1,12,19,2.19,166.3,95.08,23.23
2023,1,12,20,1.99,159.7,96.24,22.93
2023,1,12,21,1.87,154.7,96.92,22.68
2023,1,12,22,1.82,153.6,97.53,22.37
2023,1,12,23,1.79,155.3,97.95,22.11
2023,1,13,0,1.81,158,98.26,21.86
2023,1,13,1,1.84,160.3,98.84,21.62
2023,1,13,2,1.82,160.8,99.15,21.41
2023,1,13,3,1.77,164.6,99.23,21.25
2023,1,13,4,1.74,165,99.08,21.2
2023,1,13,5,1.76,160.7,98.96,21.12
2023,1,13,6,2.1,157.3,95.59,22.31
2023,1,13,7,2.69,151.2,90.79,23.43
2023,1,13,8,2.71,142,84.83,24.73
2023,1,13,9,2.55,135.2,77.56,26.22
2023,1,13,10,2.33,133.4,72.76,27.3
2023,1,13,11,2.16,136.9,70.32,27.98
2023,1,13,12,2.16,145.4,69.64,28.18
2023,1,13,13,2.29,153.3,70.31,28.01
2023,1,13,14,2.46,159.8,71.84,27.58
2023,1,13,15,2.57,164.7,75.47,26.85
2023,1,13,16,2.74,166.5,81.65,25.85
2023,1,13,17,2.76,167.2,87.22,24.74
2023,1,13,18,2.44,164.1,93.85,23.64
2023,1,13,19,2.46,157.8,96.1,23.16
2023,1,13,20,2.5,152.8,96.75,22.87
